Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Total Greenhouse Gas Emissions (Mt CO2-Equivalent),53.7,49.7,51.9,53.3,53,51.5,51.9,50,49.3,47.9,48.9,46.2,42.1,41.3,42.1,42.6,41.4,42.6,41.3,41.5,39.8,39
  Carbon Dioxide (CO2) (Mt CO2-Equivalent),50.1,46.7,49,50.3,50.1,49.1,49.4,47.6,47,46.1,47,44.4,40.8,40.2,41.1,40.6,39.6,41,39.6,40.3,38.8,37.9
  Methane (CH4) (Mt CO2-Equivalent),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2
  Nitrous Oxide (N2O) (Mt CO2-Equivalent),0.6,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
  Hydrofluorocarbons (HFCs) (Mt CO2-Equivalent),0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
  Perfluorocarbons (PFCs) (Mt CO2-Equivalent),1.8,1.3,1.4,1.4,1.4,1.2,1.3,1.3,1.2,1.2,1.3,1.1,0.7,0.6,0.5,1.1,1,0.8,0.8,0.5,0.4,0.5
  Sulphur Hexafluoride (SF6) (Mt CO2-Equivalent),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0
  Nitrogen Trifluoride (NF3) (Mt CO2-Equivalent),0.5,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.3,0.2,0.2,0.2,0.1,0,0.1
% Of Total GHG Emissions - Carbon Dioxide (CO2) (Per Cent),93.3,94,94.3,94.3,94.5,95.2,95.4,95.2,95.3,96.1,96,96.2,96.8,97.4,97.5,95.2,95.6,96.3,96,97.1,97.4,97.1
% Of Total GHG Emissions - Methane (CH4) (Per Cent),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6
% Of Total GHG Emissions - Nitrous Oxide (N2O) (Per Cent),1.1,1.1,1.1,0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.7
% Of Total GHG Emissions - Hydrofluorocarbons (HFCs) (Per Cent),1,1,0.9,1,1,0.9,0.8,0.7,0.7,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0
% Of Total GHG Emissions - Perfluorocarbons (PFCs) (Per Cent),3.3,2.7,2.6,2.7,2.6,2.4,2.5,2.5,2.5,2.5,2.6,2.4,1.6,1.4,1.3,2.6,2.4,1.9,2,1.3,1.1,1.3
% Of Total GHG Emissions - Sulphur Hexafluoride (SF6) (Per Cent),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
% Of Total GHG Emissions - Nitrogen Trifluoride (NF3) (Per Cent),0.9,0.8,0.7,0.7,0.7,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0,0,0.7,0.6,0.4,0.4,0.2,0.1,0.2
