Data Series,2021,2020
Primary Emissions - Power,39.2,39.8
Primary Emissions - Industry,44.4,44.4
Primary Emissions - Transport,14.2,13.7
Primary Emissions - Buildings,0.9,0.8
Primary Emissions - Household,0.4,0.5
Primary Emissions - Waste And Water,0.6,0.6
Primary Emissions - Others,0.2,0.2
Secondary Emissions - Industry,16.6,16.2
Secondary Emissions - Transport,2.2,2.3
Secondary Emissions - Buildings,12.6,13.1
Secondary Emissions - Household,6.6,7.1
Secondary Emissions - Waste And Water,0.8,0.8
Secondary Emissions - Others,0.4,0.3
